customer_id,first_name,last_name,email,signup_date,country
C001,John,Doe,john.doe@newmail.com,2025-01-10,USA
C002,Jane,Smith,jane.smith@example.com,2025-01-15,UK
C003,Alice,Brown,alice.brown@example.com,2025-01-18,CAN
C004,Bob,Johnson,bob.johnson@example.com,2025-01-20,USA
C005,Charlie,Lee,charlie.lee@example.com,2025-01-22,IND
C008,Anna,Williams,williams@example.com,2025-02-03,UK
C009,Emma,Jones,emma@example.com,2025-02-04,CAN
C010,Olivia,Clark,olivia.clark@example.com,2025-02-05,AUS
C011,Liam,Scott,,2025-02-06,IND
C012,Noah,Green,noah@example.com,2025-02-07,USA
C013,Ava,Hill,ava@example.com,2025-02-08,UK
C014,Ethan,Adams,ethan@example.com,2025-02-09,CAN
C015,Sophia,Baker,sophia@example.com,2025-02-10,AUS
C016,Lucas,White,lucas@example.com,2025-02-11,USA
C017,Mia,Turner,mia.turner@example.com,2025-02-12,UK
C018,Olivia,Parker,olivia.parker@example.com,2025-02-13,CAN
C020,Jack,Black,jack.black@example.com,2025-02-14,USA
